@RELATION PENCODE


@ATTRIBUTE 32BITSTRING STRING

@ATTRIBUTE IMAGENO STRING

@ATTRIBUTE ISRED NUMERIC

@ATTRIBUTE FREQUENCY NUMERIC


@DATA 
11001110111101111001001100110011, 11_38, 0, 1
01011001101010110001110001000011, 11_44, 0, 1
11001011110100010010001011100111, 11_47, 0, 1
01001010010001110100001001000011, 11_48, 0, 1
01111100010101101000010100100010, 11_49, 0, 1
11110000101001101110100011100010, 11_52, 0, 1
11101110100100100000010101000101, 11_56, 0, 1
10011100001011100111111100100101, 11_60, 0, 1
00110111011010110101111000000101, 11_61, 0, 1
10101010100010100111100100110100, 11_75, 0, 1
00101001001010010101001110000001, 11_76, 0, 1
11100110101111110010010001110110, 11_79, 0, 1
10111101111100101111110101100000, 11_82, 0, 1
00001100100000001101010000010001, 11_88, 0, 3
11001111010010100111101111100101, 11_94, 0, 1
11110001111100011000111001110000, 11_95, 0, 1
00100010010111110101000010000010, 11_100, 0, 1
01100010011000001110010110100010, 11_109, 0, 1
01111001000011111100001111110010, 11_112, 0, 1
00011011010000001010010000100110, 11_115, 0, 1
00001101000100101010100101010011, 11_116, 0, 1
00110101000001010111000000010101, 11_118, 0, 1
